label,id,party
Renata Alt,429,FDP
Wolfgang Wiehle,552,AfD
Matthias Seestern-Pauly,368,FDP
Robby Schlund,128,AfD
Marja-Liisa Völlers,325,SPD
Daniela Ludwig,99,CSU
Jessica Tatti,230,The Left
Yasmin Fahimi,144,SPD
Kristina Nordt,287,CDU
Norbert Röttgen,376,CDU
Stephan Kühn,480,Greens
Wiebke Esdar,548,SPD
Metin Hakverdi,352,SPD
Marco Buschmann,316,FDP
Nicole Bauer,380,FDP
Stefan Liebich,47,The Left
Ute Vogt,532,SPD
Claudia Moll,89,SPD
Bernd Westphal,50,SPD
Sebastian Hartmann,454,SPD
Katja Hessel,148,FDP
Sylvia Pantel,491,CDU
Antje Tillmann,34,CDU
Christoph Hoffmann,212,FDP
Karin Maag,305,CDU
Gisela Manderla,307,CDU
Susanne Ferschl,484,The Left
Karsten Möring,262,CDU
Kai Gehring[210],256,Greens
Tino Sorge,508,CDU
Michael Theurer,141,FDP
Niema Movassat,385,The Left
Bernd Rützel,440,SPD
Michael Roth,363,SPD
Siemtje Möller,457,SPD
Stefan Schwartze,443,SPD
Achim Post,4,SPD
Gitta Connemann,176,CDU
Albert Stegemann,478,CDU
Britta Haßelmann,59,Greens
Elisabeth Motschmann,132,CDU
Christian Kühn,82,Greens
Dagmar Freitag,96,SPD
Bela Bach,46,SPD
Hilde Mattheis,209,SPD
Ingo Gädechens,171,CDU
Matthias Hauer,338,CDU
Martin Patzelt,366,CDU
Gunther Krichbaum,187,CDU
Thorsten Frei,504,CDU
Alexander Neu,15,The Left
Jürgen Martens,246,FDP
Alexander Hoffmann,211,CSU
Christoph de Vries,543,CDU
Gerhard Zickenheiner,190,Greens
Christian Lindner,68,FDP
Armin-Paul Hampel,404,AfD
Charlotte Schneidewind-Hartnagel,80,Greens
Frauke Petry,165,Independent (ex AfD)
Klaus-Dieter Gröhler,273,CDU
Kay Gottschalk,272,AfD
Florian Oßner,154,CSU
Kirsten Tackmann,279,The Left
Thomas Sattelberger,494,FDP
Marianne Schieder,304,SPD
Alois Rainer,19,CSU
Carsten Müller,348,CDU
Carl-Julius Cronenberg,88,FDP
Bernhard Daldrup,51,SPD
Silvia Breher,57,CDU
Anja Weisgerber,31,CSU
Claudia Schmidtke,421,CDU
Johannes Schraps,243,SPD
Carsten Körber,73,CDU
Lorenz Gösta Beutin,294,The Left
Siegbert Droese,456,AfD
Elisabeth Winkelmeier-Becker,133,CDU
Markus Uhl],520,CDU
Jörg Cezanne,234,The Left
Sevim Dağdelen,455,The Left
Mahmut Özdemir,392,SPD
Dorothee Bär,119,CSU
Stephan Protschka,8,AfD
Henning Otte,544,CDU
Saskia Esken,139,SPD
Elisabeth Kaiser,257,SPD
Renate Künast,430,Greens
Irene Mihalic,218,Greens
Evrim Sommer,207,The Left
Andrea Lindholz,23,CSU
Die Gruenen,106,Greens
Anette Kramme,29,SPD
Susann Rüthrich,485,SPD
Jens Koeppen,227,CDU
Julia Verlinden,249,Greens
Fabio De Masi,143,The Left
Frank Pasemann,159,AfD
Alexander Graf Lambsdorff,288,FDP
Markus Kurth,326,Greens
Heike Brehmer,199,CDU
Heribert Hirte,208,CDU
Corinna Rüffer,93,Greens
Gyde Jensen,189,FDP
Matthias Heider,339,CDU
Michel Brandt,361,The Left
Johannes Vogel,237,FDP
Matthias Höhn,340,The Left
Katharina Dröge,263,Greens
Johann Saathoff,236,SPD
Hubertus Heil,215,SPD
Axel Fischer,37,CDU
Anna Christmann,33,Greens
Felix Schreiner,151,CDU
Lars Klingbeil,290,SPD
Marco Wanderwitz,547,CDU
Anke Domscheit-Berg,32,The Left
Hansjörg Durz,195,CSU
Omid Nouripour,391,Greens
Marcel Emmerich,206,Greens
Tobias Pflüger,516,The Left
Sven Lehmann,487,Greens
Linda Teuteberg,296,FDP
Agnieszka Brugger,10,Greens
Steffi Lemke,476,Greens
Sven-Christian Kindler,486,Greens
Ulle Schauws,525,Greens
Alexander Kulitz,12,FDP
Florian Toncar,155,FDP
Lars Castellucci,289,SPD
Manuel Höferlin,310,FDP
Jürgen Pohl,420,AfD
Christian Dürr,83,FDP
Torsten Herbst,515,FDP
Simone Barrientos,448,The Left
Martin Schulz,334,SPD
Konstantin von Notz,284,Greens
Kordula Schulz-Asche,252,Greens
Jens Beeck,226,FDP
Manuel Sarrazin,311,Greens
Stefan Müller,459,CSU
Otto Fricke,399,FDP
Maria Klein-Schmeink,323,Greens
Dennis Rohde,101,SPD
Frank Schäffler,142,FDP
Peter Heidt,413,FDP
Axel Gehrke,39,AfD
Rainer Spiering,425,SPD
Sabine Dittmar,114,SPD
Katja Suding,268,FDP
Die Linke Bundestag,298,The Left
Roy Kühne,121,CDU
Helge Braun,198,CDU
Cem Özdemir,78,Greens
Uwe Schulz,534,AfD
Florian Pronold,157,SPD
Christoph Matschie,336,SPD
Bärbel Kofler,43,SPD
Bärbel Bas,42,SPD
Filiz Polat,153,Greens
Katja Dörner,264,Greens
Pascal Kober,401,FDP
CDU,75,CDU
Gero Storjohann,174,CDU
Wolfgang Strengmann-Kuhn,545,Greens
Rüdiger Kruse,439,CDU
Diether Dehm,109,The Left
CSU,94,CSU
Oliver Luksic,398,FDP
Tobias Lindner,510,Greens
Katrin Helling-Plahr,271,FDP
Kathrin Vogler,539,The Left
Caren Lay,71,The Left
Josephine Ortleb,239,SPD
Thomas Erndl,493,CSU
Ekin Deligöz,131,Greens
Peter Tauber,414,CDU
Andreas Schwarz,453,SPD
Marcus Faber,318,FDP
Katrin Werner,270,The Left
Jan-Marco Luczak,231,CDU
Markus Tressel,328,Greens
Oliver Kaczmarek,254,SPD
Ulrich Freese,521,SPD
Dietmar Bartsch,110,The Left
Sylvia Lehmann,291,SPD
Isabel Mackensen-Geis,219,SPD
Cansel Kiziltepe,70,SPD
Ingmar Jung,216,CDU
Andreas Mattfeldt,20,CDU
Andreas Wagner (politician),22,The Left
Ottmar von Holtz,400,Greens
Roman Müller-Böhm,372,FDP
Steffen Bilger,473,CDU
Ronja Kemmer,438,CDU
Dorothee Martin,118,SPD
Heiko Maas,202,SPD
Gesine Lötzsch,300,The Left
Marian Wendt,324,CDU
Bettina Müller,52,SPD
Bernd Siebert,49,CDU
Die Gruenen Bundestag,184,Greens
Kai Whittaker,255,CDU
Tobias Peterka,511,AfD
Anja Karliczek,30,CDU
Johannes Huber,214,AfD
Zaklin Nastic,555,The Left
Martin Renner,432,AfD
Martin Reichardt,303,AfD
Uwe Kamann,533,LKR (ex AfD)
Sabine Leidig,444,The Left
Cornelia Möhring,90,The Left
Christine Aschenberg-Dugnus,69,FDP
Lothar Binding,301,SPD
Andreas Mrosek,367,AfD
Reinhard Brandl,427,CSU
SPD,464,SPD
Markus Koob,285,CDU
Frank Steffel,164,CDU
Torsten Schweiger,76,CDU
Sebastian Steineke,479,CDU
Thomas Bareiß,498,CDU
Fritz Felgentreu,166,SPD
Katja Kipping,266,The Left
Frank Sitta,163,FDP
Josef Oster,238,CDU
Lisa Badum,41,Greens
Roland Hartwig,424,AfD
Alexander Radwan,14,CSU
Daniela Kluckert,97,FDP
Ulla Jelpke,524,The Left
Daniela De Ridder,102,SPD
Volker Ullrich,540,CSU
Marcus Held,319,SPD
Martin Rosemann,333,SPD
Peter Stein,408,CDU
Paul Ziemiak,406,CDU
Thomas Hitschler,502,SPD
Thomas Oppermann,503,SPD
Petra Sitte,416,The Left
Benjamin Strasser,62,FDP
Gabriela Heinrich,172,SPD
Jens Spahn,228,CDU
Frank Schwabe,162,SPD
Gabriele Katzmarek,170,SPD
Michael Georg Link,356,FDP
Bernd Baumann,48,AfD
Marie-Agnes Strack-Zimmermann,335,FDP
Andreas Rimkus,24,SPD
Nicole Höchst,381,AfD
Pascal Meiser,402,The Left
Markus Paschke,327,SPD
Karamba Diaby,259,SPD
Heiko Wildberg,201,AfD
Torbjörn Kartes,514,CDU
Franziska Brantner,146,Greens
Andreas Steier,27,CDU
Thomas Ehrhorn,499,AfD
Christian Lange,85,SPD
Karl Lauterbach,260,SPD
Volkmar Klein,541,CDU
Erwin Rüddel,138,CDU
Heike Hänsel,200,The Left
Svenja Stadler,465,SPD
Victor Perli,537,The Left
Annette Widmann-Mauz,36,CDU
Peter Felser,412,AfD
Ulrich Oehme,528,AfD
Waldemar Herdt,546,AfD
Jan Nolte,221,AfD
Wilhelm von Gottberg,542,AfD
Michael Meister,351,CDU
SPD Bundestag,463,SPD
Peter Aumer,410,CSU
Markus Töns,512,SPD
Carsten Träger,74,SPD
Sönke Rix,460,SPD
Andreas Lenz,103,CSU
Thomas Lutze,497,The Left
Patrick Schnieder,423,CDU
Thomas Jarzombek,509,CDU
Mechthild Rawert,350,SPD
Christian Hirte,84,CDU
Peter Altmaier,409,CDU
Ralph Brinkhaus,426,CDU
Olaf Scholz,395,SPD
Ulli Nissen,526,SPD
Bettina Stark-Watzinger,467,FDP
Udo Schiefner,519,SPD
Jürgen Hardt,248,CDU
Yvonne Magwas,554,CDU
Ernst Dieter Rossmann,130,SPD
Johann Wadephul,242,CDU
Günter Krings,186,CDU
Elvan Korkmaz,286,SPD
FDP,147,FDP
Armin Schuster,35,CDU
Kerstin Griese,275,SPD
Tankred Schipanski,517,CDU
Kai Wegner,258,CDU
Martina Stamm-Fibich,466,SPD
Florian Hahn,193,CSU
Michael Thews,357,SPD
Marc Jongen,312,AfD
Markus Frohnmaier,167,AfD
Jan Korte,223,The Left
Nadine Schön,377,CDU
Daniel Föst,104,FDP
Niels Annen,384,SPD
Michael Kuffer,360,CSU
Christine Buchholz,79,The Left
Norbert Müller,390,The Left
Stefan Gelbhaar,469,Greens
Roderich Kiesewetter,437,CDU
Patrick Sensburg,403,CDU
Frank Heinrich,161,CDU
Die Linke,107,The Left
Berengar Elsner von Gronow,134,AfD
Ingrid Nestle,217,Greens
Peter Beyer,407,CDU
Marc Henrichmann,314,CDU
Jens Zimmermann,229,SPD
Uwe Witt,550,AfD
Helge Lindh,203,SPD
Hubertus Zdebel,556,The Left
Michael Frieser,358,CSU
CDU CSU Bundestag,77,CDU
Uwe Kekeritz,536,Greens
Mathias Stein,483,SPD
Katja Leikert,281,CDU
Saskia Ludwig,447,CDU
Anja Hajduk,194,The Left
Sahra Wagenknecht,488,The Left
Konstantin Kuhle,283,FDP
Margarete Bause,321,Greens
Edgar Franke,160,SPD
